"","nodes","nTree","r2"
"216",16,3,0.922084750359624
"217",17,3,0.907260076913121
"218",18,3,0.921229410709701
"219",19,3,0.89186584979608
"220",20,3,0.8922171369198
"221",21,3,0.887462911070132
"222",22,3,0.910049644204828
"223",23,3,0.914517220675941
"224",24,3,0.920545087718258
"225",25,3,0.918546757945694
"226",26,3,0.864161278248101
"227",27,3,0.874746133965845
"228",28,3,0.893141724614403
"229",29,3,0.893141724614403
"230",30,3,0.874437453290721
"231",31,3,0.874290541730843
"232",32,3,0.850329152557757
"233",33,3,0.824571559182418
"234",34,3,0.824571559182418
"235",35,3,0.893916032064934
"236",36,3,0.857868877654793
"237",37,3,0.880300824270715
"238",38,3,0.880500164468727
"239",39,3,0.896011613501412
"240",40,3,0.896011613501412
"241",41,3,0.896918460340664
"242",42,3,0.840512642109581
"243",43,3,0.876996100853957
"244",44,3,0.852579118793647
"245",45,3,0.851862066830377
"246",46,3,0.872691572354191
"247",47,3,0.856088578683825
"248",48,3,0.856088578683825
"249",49,3,0.854787134627325
"250",50,3,0.850884163897111
"251",51,3,0.82526211447285
"252",52,3,0.851714674035566
"253",53,3,0.851714674035566
"254",54,3,0.871670631023561
"255",55,3,0.871670631023561
"256",56,3,0.857261576483607
"257",57,3,0.842760081188427
"258",58,3,0.815839422592435
"259",59,3,0.815839422592435
"260",60,3,0.821835737505857
"261",61,3,0.821835737505857
"262",62,3,0.832755399635093
"263",63,3,0.863609946275106
"264",64,3,0.811456450018829
"265",65,3,0.811456450018829
"266",66,3,0.811456450018829
"267",67,3,0.811456450018829
"268",68,3,0.811456450018829
"269",69,3,0.811130223333969
"270",70,3,0.84553198060203
"271",71,3,0.84553198060203
"272",72,3,0.845057859570127
"273",73,3,0.845057859570127
"274",74,3,0.845057859570127
"275",75,3,0.845057859570127
"276",76,3,0.837821244013043
"277",77,3,0.828814720681337
"278",78,3,0.828814720681337
"279",79,3,0.828814720681337
"280",80,3,0.828814720681337
"281",81,3,0.828814720681337
"282",82,3,0.828814720681337
"283",83,3,0.828814720681337
"284",84,3,0.828814720681337
"285",85,3,0.828814720681337
"286",86,3,0.828814720681337
"287",87,3,0.828814720681337
"288",88,3,0.828814720681337
"289",89,3,0.828814720681337
"290",90,3,0.828814720681337
"291",91,3,0.828814720681337
"292",92,3,0.831444508134266
"293",93,3,0.78745786032386
"294",94,3,0.810986740986273
"295",95,3,0.810986740986273
"296",96,3,0.823054712939252
"297",97,3,0.823054712939252
"298",98,3,0.804740000634227
"299",99,3,0.804740000634227
"300",100,3,0.78187456654653
"301",1,4,0.970247445705808
"302",2,4,0.945506280099219
"303",3,4,0.95648523502461
"304",4,4,0.957385374973066
"305",5,4,0.956069635403947
"306",6,4,0.938349164296388
"307",7,4,0.940164296158301
"308",8,4,0.941682231773602
"309",9,4,0.937689143593353
"310",10,4,0.915261319980571
"311",11,4,0.931451322377241
"312",12,4,0.9122674805812
"313",13,4,0.922645108799772
"314",14,4,0.930510525653836
"315",15,4,0.92712351639978
"316",16,4,0.928944287994104
"317",17,4,0.916712161333824
"318",18,4,0.931917431416225
"319",19,4,0.903827395248973
"320",20,4,0.905909444099378
"321",21,4,0.919242662974281
"322",22,4,0.91094138338146
"323",23,4,0.923133924855764
"324",24,4,0.923749437712517
"325",25,4,0.932090684943768
"326",26,4,0.874206751544309
"327",27,4,0.897872910753633
"328",28,4,0.896434573959041
"329",29,4,0.89536842747563
"330",30,4,0.89208800551399
"331",31,4,0.893329998054949
"332",32,4,0.8740356607458
"333",33,4,0.859694377533716
"334",34,4,0.859694377533716
"335",35,4,0.907684587771689
"336",36,4,0.879233277287699
"337",37,4,0.902020044531748
"338",38,4,0.906218428746715
"339",39,4,0.910195542689203
"340",40,4,0.90968125812625
"341",41,4,0.910089966904555
"342",42,4,0.865312900188801
"343",43,4,0.89662318328187
"344",44,4,0.870269295171605
"345",45,4,0.879459056438595
"346",46,4,0.887022696569254
"347",47,4,0.870099694165545
"348",48,4,0.869859607327843
"349",49,4,0.869913324329217
"350",50,4,0.868890037068716
"351",51,4,0.842080579442866
"352",52,4,0.859331620292931
"353",53,4,0.859331620292931
"354",54,4,0.880810392112664
"355",55,4,0.880810392112664
"356",56,4,0.884998163648912
"357",57,4,0.849931310282686
"358",58,4,0.837475751364815
"359",59,4,0.837032432971157
"360",60,4,0.839750309763873
"361",61,4,0.839750309763873
"362",62,4,0.834260398267603
"363",63,4,0.86939749113254
"364",64,4,0.837528333931879
"365",65,4,0.837528333931879
"366",66,4,0.837528333931879
"367",67,4,0.83915322690443
"368",68,4,0.83915322690443
"369",69,4,0.836413818520041
"370",70,4,0.856942691643667
"371",71,4,0.856942691643667
"372",72,4,0.852694428802812
"373",73,4,0.852694428802812
"374",74,4,0.852934623124156
"375",75,4,0.852934623124156
"376",76,4,0.827261508521491
"377",77,4,0.84017539172586
"378",78,4,0.829198442295957
"379",79,4,0.829198442295957
"380",80,4,0.829198442295957
"381",81,4,0.829198442295957
"382",82,4,0.829198442295957
"383",83,4,0.829198442295957
"384",84,4,0.829198442295957
"385",85,4,0.829198442295957
"386",86,4,0.827621806253501
"387",87,4,0.827621806253501
"388",88,4,0.827621806253501
"389",89,4,0.827621806253501
"390",90,4,0.827621806253501
"391",91,4,0.827621806253501
"392",92,4,0.819778030710533
"393",93,4,0.765186765879611
"394",94,4,0.804314011303771
"395",95,4,0.804314011303771
"396",96,4,0.820362446433061
"397",97,4,0.820362446433061
"398",98,4,0.824214429852051
"399",99,4,0.824214429852051
"400",100,4,0.830133615929388
"401",1,5,0.971057818055272
"402",2,5,0.957354288363723
"403",3,5,0.95719315053421
"404",4,5,0.963552779729831
"405",5,5,0.959661965846531
"406",6,5,0.938928674987068
"407",7,5,0.9545557079872
"408",8,5,0.952345954150338
"409",9,5,0.943297113663106
"410",10,5,0.933308395062997
"411",11,5,0.938180883568358
"412",12,5,0.908188378285738
"413",13,5,0.939480454726205
"414",14,5,0.93713364611129
"415",15,5,0.939709093574259
"416",16,5,0.939859711241226
"417",17,5,0.922008007660363
"418",18,5,0.934660597426382
"419",19,5,0.913719218720334
"420",20,5,0.918239774218411
"421",21,5,0.926648091975081
"422",22,5,0.923851514613996
"423",23,5,0.927010731043685
"424",24,5,0.921749189774641
"425",25,5,0.941173963096264
"426",26,5,0.876042748581812
"427",27,5,0.90769214604001
"428",28,5,0.912412933345622
"429",29,5,0.904711086196971
"430",30,5,0.890316931819238
"431",31,5,0.908568055236148
"432",32,5,0.892889063196732
"433",33,5,0.872078649163786
"434",34,5,0.872078649163786
"435",35,5,0.908170577607545
"436",36,5,0.879939873349886
"437",37,5,0.913495636080935
"438",38,5,0.912773409420715
"439",39,5,0.908683954317185
"440",40,5,0.919824967283259
"441",41,5,0.912345771310335
"442",42,5,0.882457219313592
"443",43,5,0.908026362173855
"444",44,5,0.883668820364682
"445",45,5,0.877277480592862
"446",46,5,0.900180520656739
"447",47,5,0.876126132879247
"448",48,5,0.881574480234258
"449",49,5,0.875984408003317
"450",50,5,0.872665952511969
"451",51,5,0.837721158821306
"452",52,5,0.890950244174474
"453",53,5,0.890950244174474
"454",54,5,0.885943029070369
"455",55,5,0.885943029070369
"456",56,5,0.872880169413048
"457",57,5,0.839585644061015
"458",58,5,0.847480589119851
"459",59,5,0.85112438097845
"460",60,5,0.8488474416947
"461",61,5,0.8488474416947
"462",62,5,0.852207696043699
"463",63,5,0.874153836550125
"464",64,5,0.849566897499672
"465",65,5,0.849566897499672
"466",66,5,0.849566897499672
"467",67,5,0.83762699860228
"468",68,5,0.83762699860228
"469",69,5,0.836139595383846
"470",70,5,0.858328599670993
"471",71,5,0.858491911979782
"472",72,5,0.859924926310548
"473",73,5,0.859924926310548
"474",74,5,0.857702731779309
"475",75,5,0.857702731779309
"476",76,5,0.837842046664606
"477",77,5,0.833640249660937
"478",78,5,0.815446693523203
"479",79,5,0.815446693523203
"480",80,5,0.815446693523203
"481",81,5,0.815446693523203
"482",82,5,0.815446693523203
"483",83,5,0.815446693523203
"484",84,5,0.815446693523203
"485",85,5,0.815446693523203
"486",86,5,0.853328724320977
"487",87,5,0.853328724320977
"488",88,5,0.830894021171296
"489",89,5,0.830894021171296
"490",90,5,0.830894021171296
"491",91,5,0.830894021171296
